X Y	IV BETA SE P
MUC16 bald13 4 0.006 0.041 0.89
MUC2 bald13 9 -0.004 0.014 0.79
MVK bald13 4 -0.119 0.052 0.024
MXRA8 bald13 5 -0.131 0.058 0.023
MYOC bald13 12 0.012 0.008 0.098
NAA80 bald13 4 -0.092 0.088 0.29
NAAA bald13 32 0.008 0.009 0.4
NADK bald13 11 -0.005 0.007 0.49
NAGA bald13 9 -0.007 0.016 0.68
NAGK bald13 5 0.024 0.022 0.29
NAGPA bald13 14 -0.005 0.011 0.65
NAP1L4 bald13 6 -0.014 0.032 0.66
NAPRT bald13 10 -0.028 0.022 0.21
NBN bald13 6 0.09 0.042 0.031
NCAM1 bald13 19 -0.018 0.009 0.045
NCAM2 bald13 31 0.009 0.006 0.11
NCAN bald13 7 0.001 0.026 0.96
NCR1 bald13 14 -0.018 0.015 0.21
NCR3LG1 bald13 11 -0.001 0.016 0.94
NCS1 bald13 7 -0.001 0.023 0.95
NECTIN2 bald13 7 0.005 0.02 0.78
NECTIN4 bald13 4 0.017 0.042 0.69
NELL1 bald13 16 0 0.011 0.97
NELL2 bald13 6 0.002 0.045 0.96
NEO1 bald13 4 0.012 0.059 0.84
NFASC bald13 15 -0.01 0.011 0.36
NFATC1 bald13 7 0.005 0.023 0.82
NHLRC3 bald13 10 -0.022 0.01 0.038
NID1 bald13 9 -0.006 0.028 0.84
NID2 bald13 31 -0.006 0.008 0.48
NINJ1 bald13 6 0.235 0.1 0.019
NIT2 bald13 4 -0.029 0.033 0.38
NME3 bald13 7 -0.012 0.015 0.41
NMI bald13 9 -0.004 0.009 0.7
NMNAT1 bald13 4 0.045 0.026 0.085
NOMO1 bald13 4 0.092 0.064 0.15
NOS1 bald13 4 0.01 0.021 0.65
NOTCH1 bald13 8 -0.03 0.039 0.45
NOTCH2 bald13 11 0.086 0.037 0.02
NOTCH3 bald13 5 0.005 0.024 0.85
NPC2 bald13 8 -0.002 0.01 0.84
NPHS1 bald13 16 -0.003 0.016 0.83
NPL bald13 14 -0.019 0.011 0.079
NPPB bald13 7 0.006 0.024 0.79
NPPC bald13 4 -0.226 0.103 0.029
NPTX1 bald13 25 0.002 0.009 0.85
NPTX2 bald13 19 0.002 0.011 0.88
NPTXR bald13 12 0.003 0.008 0.73
NPY bald13 6 0.062 0.037 0.091
NRCAM bald13 13 -0.003 0.023 0.89
NRP1 bald13 13 0.015 0.015 0.31
NRP2 bald13 10 0.037 0.03 0.22
NT5C bald13 9 -0.01 0.009 0.23
NT5E bald13 35 0.013 0.01 0.19
NTF3 bald13 12 0.024 0.026 0.36
NTproBNP bald13 12 0.01 0.014 0.5
NTRK2 bald13 6 0.005 0.044 0.91
NTRK3 bald13 9 0.039 0.03 0.2
NUB1 bald13 4 0.049 0.025 0.055
NUCB2 bald13 14 0.017 0.004 0.00012
NUDT16 bald13 6 -0.006 0.04 0.89
NUDT2 bald13 6 -0.047 0.019 0.012
NXPH3 bald13 4 0.026 0.028 0.35
OBP2B bald13 25 0 0.009 0.98
OCLN bald13 5 0.028 0.028 0.32
ODAM bald13 5 -0.011 0.015 0.43
OGA bald13 4 0 0.034 0.99
OGFR bald13 5 -0.032 0.041 0.44
OGN bald13 13 -0.009 0.009 0.33
OLFM4 bald13 34 0.001 0.007 0.93
OLR1 bald13 5 0.046 0.037 0.22
OMD bald13 4 -0.021 0.06 0.72
OPLAH bald13 6 -0.007 0.023 0.76
OPTC bald13 6 0.004 0.012 0.77
ORM1 bald13 15 0.006 0.008 0.42
OSCAR bald13 33 0.003 0.009 0.7
OSMR bald13 33 0.008 0.008 0.31
OXT bald13 18 0.012 0.009 0.2
PADI4 bald13 14 -0.001 0.013 0.92
PAEP bald13 39 0.001 0.012 0.9
PALM2 bald13 8 -0.013 0.05 0.8
PALM bald13 10 -0.001 0.028 0.97
PAM bald13 28 0.03 0.022 0.17
PAMR1 bald13 18 0.001 0.006 0.82
PBLD bald13 17 0.004 0.016 0.8
PCBD1 bald13 5 -0.057 0.024 0.018
PCDH12 bald13 10 -0.017 0.012 0.15
PCDH17 bald13 5 -0.015 0.04 0.71
PCDH7 bald13 4 0.011 0.04 0.78
PCDH9 bald13 21 0.02 0.01 0.041
PCDHB15 bald13 25 0.024 0.006 1.2e-05
PCSK7 bald13 10 -0.011 0.023 0.63
PCSK9 bald13 10 0.011 0.019 0.56
PDCD1 bald13 12 0.033 0.018 0.059
PDCD1LG2 bald13 24 0.006 0.006 0.36
PDCD5 bald13 11 0 0.017 0.98
PDCD6 bald13 58 0.001 0.004 0.88
PDE5A bald13 7 -0.024 0.035 0.49
PDGFA bald13 4 -0.078 0.111 0.48
PDGFRA bald13 5 -0.015 0.013 0.26
PDGFRB bald13 57 0.001 0.005 0.92
PDZD2 bald13 4 -0.046 0.066 0.49
PEAR1 bald13 10 -0.005 0.014 0.73
PECR bald13 4 0.009 0.014 0.49
PENK bald13 11 -0.021 0.016 0.19
PEPD bald13 12 0.01 0.012 0.38
PER3 bald13 17 -0.01 0.019 0.61
PGA4 bald13 5 -0.047 0.057 0.4
PGLYRP1 bald13 4 0.015 0.017 0.36
PGLYRP2 bald13 48 0.015 0.004 0.00012
PGLYRP4 bald13 11 0.043 0.066 0.51
PHACTR2 bald13 4 -0.004 0.021 0.83
PHYKPL bald13 14 0.003 0.018 0.88
PI16 bald13 15 -0.015 0.024 0.53
PI3 bald13 7 0.013 0.014 0.38
PIGR bald13 6 0.019 0.022 0.37
PIK3AP1 bald13 10 -0.027 0.019 0.15
PILRA bald13 57 0.016 0.006 0.0065
PILRB bald13 78 0.007 0.002 0.0012
PINLYP bald13 43 0.011 0.007 0.15
PKD1 bald13 23 -0.021 0.011 0.064
PKLR bald13 9 -0.01 0.02 0.64
PLA2G10 bald13 8 0.006 0.025 0.81
PLA2G15 bald13 8 0.037 0.016 0.019
PLA2G2A bald13 28 -0.004 0.011 0.69
PLA2G7 bald13 6 0.023 0.039 0.54
PLAU bald13 7 0.002 0.023 0.92
PLAUR bald13 8 -0.022 0.031 0.48
PLB1 bald13 52 0.008 0.009 0.37
PLCB2 bald13 5 0.028 0.042 0.5
PLEKHO1 bald13 4 0.046 0.068 0.49
PLG bald13 17 0.007 0.011 0.51
PLTP bald13 15 -0.004 0.008 0.66
PLXDC1 bald13 23 -0.001 0.011 0.94
PLXDC2 bald13 8 -0.062 0.05 0.21
PLXNB2 bald13 48 0.014 0.008 0.097
PM20D1 bald13 60 0.009 0.005 0.098
PMM2 bald13 9 0.036 0.014 0.013
PMVK bald13 4 -0.058 0.036 0.11
PNLIPRP1 bald13 10 0.003 0.019 0.86
PNLIPRP2 bald13 38 0 0.002 0.91
PNMA1 bald13 4 0.089 0.047 0.059
PODXL2 bald13 9 0.011 0.023 0.63
PODXL bald13 5 -0.042 0.024 0.074
POMC bald13 5 -0.033 0.053 0.53
PON1 bald13 46 0.002 0.005 0.6
PON2 bald13 36 -0.001 0.006 0.87
PON3 bald13 11 -0.002 0.009 0.85
POSTN bald13 16 0.01 0.023 0.65
PPCDC bald13 10 -0.027 0.014 0.045
PPL bald13 7 -0.006 0.046 0.9
PPP1R14A bald13 8 -0.035 0.021 0.1
PRAP1 bald13 14 -0.002 0.015 0.9
PRCP bald13 5 0.002 0.025 0.95
PRDX2 bald13 4 0.046 0.022 0.04
PRDX5 bald13 4 -0.021 0.031 0.5
PRDX6 bald13 4 -0.058 0.033 0.073
PRELP bald13 12 -0.007 0.012 0.55
PRG2 bald13 4 0.005 0.039 0.9
PRG3 bald13 9 -0.006 0.049 0.91
PRKAB1 bald13 5 0.056 0.047 0.24
PRKAR2A bald13 4 0.042 0.039 0.29
PRKG1 bald13 5 -0.009 0.057 0.87
PRND bald13 9 0.01 0.014 0.47
PROC bald13 7 0.01 0.028 0.73
PROCR bald13 20 0.021 0.01 0.029
PROK1 bald13 24 0.011 0.013 0.41
PROS1 bald13 9 0.006 0.033 0.85
PRR4 bald13 27 -0.01 0.008 0.21
PRRT3 bald13 6 0.013 0.026 0.61
PRSS22 bald13 8 0.008 0.023 0.73
PRSS27 bald13 6 0.018 0.016 0.24
PRSS2 bald13 5 0.017 0.019 0.37
PRSS8 bald13 6 0.025 0.026 0.33
PRTFDC1 bald13 5 -0.043 0.023 0.058
PRTG bald13 35 0.012 0.008 0.13
PRTN3 bald13 12 -0.003 0.008 0.66
PSAP bald13 7 -0.016 0.01 0.11
PSAPL1 bald13 21 -0.003 0.01 0.74
PSCA bald13 22 -0.004 0.006 0.56
PSG1 bald13 99 -0.004 0.006 0.42
PSMD9 bald13 4 -0.021 0.025 0.39
PSRC1 bald13 8 -0.011 0.043 0.8
PSTPIP2 bald13 4 -0.027 0.028 0.34
PTGDS bald13 9 -0.008 0.056 0.89
PTGR1 bald13 21 0.013 0.01 0.19
PTH1R bald13 11 -0.009 0.017 0.6
PTN bald13 6 -0.037 0.032 0.24
PTPRB bald13 13 0.006 0.009 0.55
PTPRC bald13 8 -0.006 0.02 0.75
PTPRH bald13 24 -0.004 0.013 0.75
PTPRM bald13 7 0.006 0.051 0.91
PTPRN2 bald13 9 0.045 0.024 0.066
PTPRR bald13 6 -0.027 0.024 0.26
PTPRS bald13 24 -0.014 0.014 0.31
PTPRZ1 bald13 7 -0.015 0.017 0.38
PTX3 bald13 4 -0.041 0.06 0.49
PVALB bald13 18 0.002 0.009 0.85
PVR bald13 31 0.011 0.01 0.3
PXDNL bald13 9 0.003 0.018 0.89
PXN bald13 26 0.022 0.01 0.029
PYDC1 bald13 12 -0.015 0.014 0.3
PYY bald13 5 0.031 0.023 0.18
PZP bald13 25 0.003 0.011 0.75
QPCT bald13 17 -0.014 0.014 0.29
QSOX1 bald13 25 0.014 0.011 0.19
RAB11FIP3 bald13 4 0.084 0.066 0.21
RAB44 bald13 8 0.021 0.029 0.47
RABEPK bald13 6 0.024 0.035 0.49
RARRES1 bald13 21 -0.003 0.005 0.54
RARRES2 bald13 4 -0.047 0.025 0.058
RASSF2 bald13 4 0.034 0.031 0.28
RBKS bald13 5 -0.11 0.026 2.2e-05
RBP5 bald13 5 0.008 0.012 0.52
RBP7 bald13 8 0.009 0.024 0.69
RECK bald13 8 -0.02 0.019 0.29
REG1A bald13 22 -0.001 0.013 0.95
REG1B bald13 18 -0.015 0.011 0.16
REG3A bald13 10 -0.017 0.019 0.37
REG3G bald13 10 0.053 0.02 0.0077
REG4 bald13 7 0.044 0.055 0.42
RELT bald13 15 -0.012 0.015 0.42
REN bald13 5 -0.06 0.043 0.17
RET bald13 18 0.014 0.012 0.27
RETN bald13 13 -0.004 0.013 0.73
RGMA bald13 13 0.014 0.023 0.54
RIDA bald13 4 -0.016 0.016 0.33
RILP bald13 4 -0.032 0.063 0.61
RILPL2 bald13 4 0.066 0.046 0.15
RLN2 bald13 7 -0.022 0.028 0.43
RNASE10 bald13 33 0.009 0.007 0.22
RNASE1 bald13 6 0.011 0.039 0.77
RNASE3 bald13 17 0.015 0.012 0.19
RNASE4 bald13 11 -0.001 0.011 0.9
RNASE6 bald13 11 0.011 0.007 0.12
RNASET2 bald13 15 0.007 0.009 0.43
RNF149 bald13 8 0.017 0.049 0.73
RNF43 bald13 4 -0.081 0.034 0.018
ROBO1 bald13 12 0.007 0.022 0.73
ROBO2 bald13 11 -0.104 0.043 0.016
ROR1 bald13 13 0.002 0.013 0.85
RSPO1 bald13 6 0.025 0.011 0.025
RSPO3 bald13 6 0.053 0.026 0.043
RTBDN bald13 7 -0.022 0.034 0.52
RTN4R bald13 18 0.029 0.015 0.051
S100A13 bald13 8 -0.016 0.015 0.28
S100A3 bald13 5 0.042 0.055 0.45
S100A4 bald13 6 0.04 0.022 0.071
SAA4 bald13 14 -0.007 0.009 0.43
SAMD9L bald13 7 0.022 0.024 0.35
SAT2 bald13 18 -0.011 0.008 0.17
SBSN bald13 13 -0.011 0.006 0.082
SCARA5 bald13 9 0.002 0.021 0.93
SCARB2 bald13 7 0.016 0.013 0.21
SCARF1 bald13 10 -0.013 0.01 0.17
SCARF2 bald13 10 0.073 0.019 0.00013
SCG3 bald13 30 0.003 0.008 0.68
SCGB1A1 bald13 11 0.012 0.02 0.55
SCGB3A1 bald13 7 0.013 0.031 0.67
SCGB3A2 bald13 8 -0.003 0.021 0.89
SCGN bald13 4 -0.004 0.042 0.93
SCLY bald13 9 0.026 0.025 0.31
SCN4B bald13 27 0.008 0.006 0.16
SCPEP1 bald13 8 0.009 0.015 0.57
SCRG1 bald13 6 0.022 0.06 0.72
SCRN1 bald13 5 0.026 0.034 0.44
SDC1 bald13 5 -0.015 0.049 0.76
SDC4 bald13 5 0.02 0.033 0.56
SDK2 bald13 19 0.002 0.008 0.74
SEL1L bald13 4 0 0.014 0.98
SELE bald13 6 0.012 0.049 0.81
SELL bald13 12 -0.013 0.01 0.16
SELP bald13 7 -0.005 0.015 0.76
SELPLG bald13 8 0.009 0.01 0.38
SEMA3F bald13 11 -0.006 0.046 0.9
SEMA4D bald13 6 -0.017 0.027 0.51
SEMA7A bald13 7 -0.073 0.022 0.00095
SEPTIN8 bald13 5 0.006 0.041 0.88
SERPINA11 bald13 26 0.002 0.007 0.77
SERPINA12 bald13 26 0.005 0.003 0.12
SERPINA1 bald13 7 0.095 0.027 0.00051
SERPINA3 bald13 11 0.004 0.008 0.6
SERPINA4 bald13 25 0.005 0.01 0.59
SERPINA5 bald13 10 -0.028 0.011 0.012
SERPINA6 bald13 9 0.037 0.007 6.1e-07
SERPINA9 bald13 26 -0.005 0.007 0.54
SERPINB1 bald13 4 0.027 0.037 0.46
SERPINB6 bald13 8 -0.016 0.02 0.43
SERPINB8 bald13 13 0.004 0.007 0.59
SERPINB9 bald13 10 0.018 0.029 0.54
SERPIND1 bald13 4 -0.074 0.053 0.16
SERPINE2 bald13 10 -0.002 0.014 0.88
SERPINF1 bald13 13 -0.018 0.017 0.29
SERPINF2 bald13 7 -0.016 0.014 0.26
SERPING1 bald13 10 0.011 0.016 0.48
SERPINH1 bald13 7 0.009 0.073 0.9
SERPINI1 bald13 12 0.003 0.009 0.76
SERPINI2 bald13 15 -0.01 0.027 0.71
SETMAR bald13 9 0.004 0.016 0.8
SEZ6L2 bald13 6 -0.02 0.021 0.35
SEZ6L bald13 11 0.006 0.02 0.79
SFRP1 bald13 12 0.011 0.015 0.47
SFTPA1 bald13 7 0.017 0.033 0.61
SFTPA2 bald13 33 -0.013 0.01 0.21
SFTPD bald13 51 0.004 0.006 0.5
SGSH bald13 56 0 0.002 0.87
SH3BP1 bald13 7 0.037 0.022 0.095
SH3GLB2 bald13 5 -0.029 0.015 0.054
SHBG bald13 13 -0.034 0.006 1.5e-07
SHMT1 bald13 55 0.008 0.003 0.01
SIAE bald13 7 -0.004 0.017 0.83
SIGLEC10 bald13 15 -0.002 0.009 0.84
SIGLEC1 bald13 21 0.011 0.008 0.18
SIGLEC5 bald13 66 -0.005 0.005 0.36
SIGLEC6 bald13 21 0.007 0.007 0.3
SIGLEC7 bald13 12 0 0.012 0.98
SIGLEC8 bald13 23 -0.007 0.009 0.44
SIGLEC9 bald13 23 0.001 0.002 0.72
SIRPA bald13 19 -0.006 0.008 0.48
SIRPB1 bald13 40 -0.007 0.003 0.0091
SIRT2 bald13 5 -0.026 0.031 0.4
SLA2 bald13 5 0.007 0.039 0.85
SLAMF1 bald13 6 0 0.052 0.99
SLAMF6 bald13 5 -0.095 0.045 0.033
SLAMF7 bald13 30 0.005 0.011 0.62
SLAMF8 bald13 31 -0.013 0.007 0.065
SLC16A1 bald13 5 0.023 0.044 0.6
SLC39A5 bald13 5 -0.022 0.036 0.54
SLITRK6 bald13 13 0.014 0.012 0.26
SLURP1 bald13 13 -0.002 0.007 0.8
SMAD3 bald13 7 0.009 0.038 0.81
SMOC1 bald13 10 -0.017 0.016 0.29
SMOC2 bald13 22 -0.001 0.01 0.9
SMPD1 bald13 10 -0.001 0.007 0.85
SMPDL3A bald13 31 -0.007 0.007 0.35
SNAP25 bald13 6 0.036 0.041 0.39
SNCG bald13 65 0.007 0.004 0.041
SNED1 bald13 8 -0.003 0.02 0.87
SNX15 bald13 14 -0.007 0.01 0.44
SNX9 bald13 4 0.009 0.074 0.91
SOD2 bald13 5 0.026 0.068 0.7
SOD3 bald13 13 -0.024 0.012 0.038
SORBS1 bald13 4 -0.042 0.081 0.61
SORCS2 bald13 25 0.006 0.013 0.66
SORD bald13 8 -0.025 0.03 0.39
SORT1 bald13 6 -0.041 0.016 0.011
SPAG1 bald13 44 0.043 0.008 1e-07
SPARC bald13 4 -0.118 0.043 0.0059
SPARCL1 bald13 31 -0.007 0.006 0.24
SPESP1 bald13 5 0.002 0.03 0.94
SPINK1 bald13 13 -0.001 0.01 0.96
SPINK2 bald13 18 0.001 0.009 0.89
SPINK4 bald13 43 0.012 0.007 0.063
SPINK5 bald13 17 -0.026 0.013 0.051
SPINK6 bald13 11 0.004 0.014 0.8
SPINK8 bald13 9 -0.004 0.011 0.71
SPINT1 bald13 10 0.005 0.017 0.78
SPINT2 bald13 8 -0.042 0.025 0.092
SPOCK1 bald13 5 -0.027 0.034 0.44
SPON1 bald13 11 -0.015 0.014 0.26
SPON2 bald13 7 -0.044 0.02 0.031
SPP1 bald13 9 0 0.029 0.99
SPRR3 bald13 9 0.014 0.006 0.031
SPRY2 bald13 4 0.026 0.042 0.53
SPTLC1 bald13 4 -0.008 0.026 0.77
SSC4D bald13 18 -0.002 0.014 0.88
SSC5D bald13 16 -0.012 0.015 0.4
ST3GAL1 bald13 9 -0.033 0.011 0.0035
ST6GAL1 bald13 6 0.01 0.027 0.7
STAB2 bald13 19 0.001 0.009 0.89
STAMBP bald13 4 0.043 0.061 0.48
STAT2 bald13 4 0.033 0.025 0.19
STC1 bald13 4 0.035 0.049 0.47
STC2 bald13 7 -0.032 0.046 0.48
STX7 bald13 18 0 0.009 0.97
SUGP1 bald13 8 -0.032 0.018 0.08
SULT1A1 bald13 10 0.056 0.026 0.031
SULT2A1 bald13 6 -0.011 0.015 0.45
SUMF2 bald13 14 -0.004 0.011 0.72
SUOX bald13 5 0.028 0.062 0.65
SUSD1 bald13 7 0.024 0.031 0.43
SUSD2 bald13 23 -0.003 0.009 0.76
SUSD4 bald13 10 -0.024 0.06 0.69
SUSD5 bald13 23 -0.004 0.01 0.65
SWAP70 bald13 7 0.006 0.071 0.93
TACC3 bald13 5 -0.039 0.021 0.069
TACSTD2 bald13 24 0.012 0.01 0.25
TAFA5 bald13 13 0.021 0.035 0.54
TALDO1 bald13 6 0.096 0.035 0.0065
TBC1D17 bald13 11 -0.005 0.01 0.62
TBCA bald13 4 -0.009 0.031 0.78
TCL1A bald13 8 0.02 0.02 0.31
TCN1 bald13 18 -0.003 0.014 0.83
TCN2 bald13 42 -0.012 0.01 0.23
TCTN3 bald13 23 -0.005 0.009 0.59
TDGF1 bald13 58 -0.009 0.005 0.1
TDP1 bald13 4 0.028 0.041 0.49
TDRKH bald13 6 0.016 0.014 0.25
TEK bald13 19 -0.011 0.013 0.36
TEX101 bald13 6 -0.007 0.014 0.63
TF bald13 7 -0.003 0.068 0.96
TFF1 bald13 7 -0.012 0.04 0.77
TFF2 bald13 8 -0.008 0.03 0.79
TFF3 bald13 10 -0.001 0.024 0.98
TFPI2 bald13 8 -0.002 0.021 0.93
TFPI bald13 15 -0.017 0.014 0.22
TFRC bald13 26 0.014 0.011 0.23
TG bald13 5 -0.062 0.057 0.28
TGFB1 bald13 5 0.05 0.02 0.011
TGFBI bald13 22 0.002 0.008 0.79
TGFBR3 bald13 9 0.037 0.038 0.32
TGOLN2 bald13 31 0.006 0.006 0.28
THBD bald13 7 0.01 0.02 0.62
THBS2 bald13 14 -0.003 0.025 0.89
THBS4 bald13 10 0 0.026 0.99
THOP1 bald13 8 -0.001 0.016 0.93
THPO bald13 4 0.002 0.057 0.97
THSD1 bald13 5 -0.029 0.028 0.3
THTPA bald13 4 0.002 0.011 0.88
THY1 bald13 11 0.003 0.009 0.75
TIMD4 bald13 9 0.037 0.045 0.41
TIMM10 bald13 4 0.056 0.033 0.095
TIMP3 bald13 27 0.047 0.008 5.8e-09
TIMP4 bald13 9 -0.016 0.012 0.21
TINAGL1 bald13 9 0.06 0.119 0.61
TLR1 bald13 14 0.037 0.04 0.35
TLR3 bald13 58 0.001 0.005 0.86
TLR4 bald13 4 0.005 0.026 0.85
TMEM132A bald13 13 0.028 0.014 0.049
TMEM25 bald13 8 0.009 0.01 0.37
TMPRSS11D bald13 7 -0.017 0.03 0.56
TMPRSS5 bald13 44 -0.004 0.006 0.49
TNC bald13 11 -0.001 0.016 0.97
TNF bald13 5 0.02 0.033 0.55
TNFRSF10A bald13 24 0.008 0.004 0.039
TNFRSF10B bald13 13 0.023 0.015 0.12
TNFRSF10C bald13 13 -0.007 0.014 0.62
TNFRSF11A bald13 17 -0.013 0.02 0.51
TNFRSF11B bald13 11 0.021 0.028 0.45
TNFRSF12A bald13 5 -0.085 0.081 0.3
TNFRSF13B bald13 6 -0.02 0.02 0.32
TNFRSF13C bald13 16 -0.019 0.01 0.061
TNFRSF17 bald13 4 0.003 0.035 0.92
TNFRSF19 bald13 14 0.005 0.019 0.81
TNFRSF1B bald13 7 -0.045 0.028 0.11
TNFRSF21 bald13 9 -0.003 0.016 0.86
TNFRSF4 bald13 7 0.062 0.024 0.0087
TNFRSF6B bald13 34 0.008 0.014 0.54
TNFRSF8 bald13 9 -0.031 0.015 0.045
TNFSF10 bald13 8 0.021 0.019 0.27
TNFSF12 bald13 12 -0.015 0.021 0.48
TNFSF13 bald13 13 0.038 0.016 0.02
TNFSF13B bald13 10 0 0.017 0.98
TNFSF14 bald13 8 -0.008 0.046 0.86
TNFSF8 bald13 6 -0.011 0.018 0.54
TNN bald13 58 0.004 0.007 0.59
TNR bald13 11 0.003 0.023 0.9
TNXB bald13 25 0.003 0.008 0.66
TOR1AIP1 bald13 21 -0.003 0.007 0.67
TP53I3 bald13 15 0.002 0.017 0.91
TPK1 bald13 18 0.014 0.009 0.1
TPMT bald13 11 0.006 0.01 0.54
TPP1 bald13 11 -0.014 0.012 0.25
TPSAB1 bald13 72 0 0.005 0.99
TPSD1 bald13 18 -0.028 0.007 0.00018
TREH bald13 72 0 0.005 0.94
TREM2 bald13 6 -0.009 0.013 0.5
TREML2 bald13 12 -0.015 0.016 0.36
TRIM21 bald13 4 0.023 0.075 0.76
TRIM40 bald13 11 -0.026 0.053 0.62
TRIM58 bald13 5 -0.023 0.045 0.6
TRIM5 bald13 6 -0.003 0.02 0.89
TSPAN8 bald13 16 0.004 0.014 0.78
TST bald13 4 -0.077 0.042 0.066
TTF2 bald13 6 -0.012 0.013 0.37
TTR bald13 6 0.04 0.022 0.071
TXN bald13 4 0.005 0.043 0.91
TXNDC15 bald13 32 -0.001 0.006 0.84
TXNDC5 bald13 4 -0.032 0.029 0.27
TYMP bald13 4 0.052 0.032 0.11
TYRO3 bald13 41 -0.006 0.008 0.46
UBAC1 bald13 5 0.017 0.051 0.74
UBE2L6 bald13 5 -0.029 0.011 0.0076
ULBP2 bald13 24 -0.003 0.007 0.7
UMOD bald13 38 -0.003 0.005 0.57
UPB1 bald13 4 -0.028 0.044 0.53
UROD bald13 10 -0.012 0.014 0.37
UXS1 bald13 4 -0.041 0.051 0.43
VAMP5 bald13 4 -0.019 0.097 0.84
VASH1 bald13 4 -0.004 0.039 0.93
VASN bald13 7 -0.01 0.009 0.27
VAT1 bald13 5 0.01 0.033 0.76
VAV3 bald13 4 -0.006 0.076 0.93
VCAN bald13 15 -0.002 0.008 0.79
VEGFA bald13 20 -0.008 0.028 0.78
VEGFB bald13 7 0.024 0.033 0.48
VEGFC bald13 5 -0.014 0.034 0.68
VIT bald13 31 0.004 0.014 0.77
VMO1 bald13 28 0.005 0.003 0.058
VNN1 bald13 55 -0.007 0.006 0.31
VNN2 bald13 32 0.016 0.009 0.07
VSIG10 bald13 14 -0.008 0.006 0.18
VSIG10L bald13 4 -0.018 0.023 0.43
VSIG2 bald13 5 0.023 0.023 0.32
VSIR bald13 7 -0.005 0.026 0.84
VSTM1 bald13 41 0.006 0.001 1.3e-06
VSTM2L bald13 6 0.005 0.033 0.88
VTCN1 bald13 5 0.381 0.163 0.019
VWA1 bald13 16 0.009 0.017 0.61
VWC2 bald13 16 -0.018 0.01 0.077
VWC2L bald13 8 0.03 0.043 0.49
VWF bald13 6 -0.03 0.033 0.37
WARS bald13 6 -0.012 0.046 0.79
WFDC12 bald13 19 0.001 0.009 0.87
WFDC1 bald13 5 0.008 0.017 0.65
WFDC2 bald13 5 0.097 0.125 0.44
WFIKKN1 bald13 10 -0.037 0.039 0.34
WFIKKN2 bald13 24 -0.009 0.011 0.39
WIF1 bald13 9 0.068 0.037 0.065
WNT9A bald13 8 -0.035 0.021 0.1
WWP2 bald13 4 -0.047 0.028 0.097
XCL1 bald13 33 -0.001 0.007 0.84
ZBP1 bald13 7 0.007 0.012 0.57
ZBTB16 bald13 6 -0.01 0.02 0.63
ZFYVE19 bald13 9 -0.017 0.012 0.17
ZP3 bald13 88 -0.013 0.001 4.2e-27
A1BG bald14 8 -0.003 0.01 0.77
AAMDC bald14 23 0.016 0.005 0.0027
ABHD14B bald14 5 0.006 0.021 0.78
ABO bald14 29 0 0.005 0.98
ACAA1 bald14 3 -0.01 0.048 0.83
ACADSB bald14 4 -0.069 0.024 0.0047
ACAN bald14 6 -0.041 0.028 0.14
ACE bald14 9 -0.006 0.01 0.52
ACHE bald14 16 -0.005 0.018 0.79
ACOT13 bald14 3 -0.004 0.04 0.92
ACP1 bald14 9 -0.028 0.01 0.0043
ACP5 bald14 13 0.009 0.008 0.26
ACP6 bald14 52 0.001 0.005 0.82
ACRBP bald14 4 -0.025 0.022 0.27
ACVRL1 bald14 8 -0.005 0.013 0.73
ACY1 bald14 5 0.022 0.019 0.23
ACY3 bald14 10 -0.007 0.039 0.85
ACYP1 bald14 6 -0.016 0.035 0.65
ADA2 bald14 16 -0.014 0.017 0.43
ADA bald14 36 -0.017 0.007 0.019
ADAM12 bald14 7 0.038 0.029 0.2
ADAM15 bald14 38 0.023 0.004 4.3e-09
ADAM22 bald14 30 -0.003 0.006 0.63
ADAM23 bald14 43 -0.01 0.003 0.0047
ADAM8 bald14 28 -0.003 0.009 0.71
ADAM9 bald14 8 0.015 0.024 0.53
ADAMTS13 bald14 19 -0.003 0.012 0.81
ADAMTS15 bald14 3 -0.022 0.047 0.64
ADAMTS16 bald14 11 0.005 0.028 0.86
ADAMTS8 bald14 13 -0.039 0.014 0.0051
ADAMTSL2 bald14 6 -0.027 0.043 0.53
ADAMTSL4 bald14 10 0.026 0.015 0.093
ADAMTSL5 bald14 15 -0.009 0.013 0.5
ADGRB3 bald14 104 -0.005 0.005 0.26
ADGRD1 bald14 28 0 0.008 0.99
ADGRE1 bald14 14 -0.004 0.014 0.77
ADGRE5 bald14 11 -0.048 0.034 0.15
ADGRG1 bald14 8 -0.008 0.031 0.8
ADH1B bald14 7 0.015 0.027 0.57
ADIPOQ bald14 10 0.004 0.014 0.75
ADM bald14 4 0.073 0.026 0.0054
AFAP1 bald14 57 0.006 0.006 0.27
AFM bald14 6 0.006 0.026 0.82
AFP bald14 7 -0.008 0.023 0.74
AGER bald14 6 -0.044 0.03 0.14
AGRN bald14 31 -0.013 0.011 0.22
AGRP bald14 5 0.043 0.054 0.43
AGT bald14 13 -0.004 0.01 0.71
AGXT bald14 8 -0.006 0.019 0.76
AHCY bald14 8 0.004 0.014 0.78
AHNAK2 bald14 12 -0.063 0.026 0.015
AHNAK bald14 4 0.029 0.027 0.28
AHSG bald14 21 -0.006 0.011 0.61
AIF1 bald14 6 0.007 0.042 0.87
AIF1L bald14 8 0.014 0.027 0.62
AKR1B1 bald14 4 -0.057 0.032 0.075
